fullname,hand,ioc,ht,sex
Tamara Zidansek,R,SLO,168,F
Laura Siegemund,R,GER,,F
Qiang Wang,R,CHN,172,F
Aleksandra Krunic,R,SRB,,F
Bianca Andreescu,R,CAN,170,F
Margarita Gasparyan,R,RUS,,F
Madison Keys,R,USA,178,F
Shuai Zhang,R,CHN,177,F
Kristyna Pliskova,L,CZE,,F
Viktoria Kuzmova,R,SVK,,F
Elina Svitolina,R,UKR,174,F
Irina Camelia Begu,R,ROU,181,F
Belinda Bencic,R,SUI,175,F
Katie Boulter,R,GBR,180,F
Aryna Sabalenka,R,BLR,182,F
Yafan Wang,R,CHN,,F
Astra Sharma,R,AUS,,F
Maria Sakkari,R,GRE,172,F
Maria Sharapova,R,RUS,,F
Johanna Larsson,R,SWE,174,F
Caroline Wozniacki,R,DEN,177,F
Timea Babos,R,HUN,179,F
Marketa Vondrousova,L,CZE,173,F
Petra Martic,R,CRO,181,F
Anastasia Pavlyuchenkova,R,RUS,177,F
Sachia Vickery,R,USA,,F
Caroline Garcia,R,FRA,177,F
Beatriz Haddad Maia,L,BRA,,F
Lorenzo Sonego,R,ITA,191,M
Yuichi Sugita,R,JPN,173,M
Nicola Kuhn,R,ESP,,M
Tatsuma Ito,R,JPN,180,M
Pedro Martinez,R,ESP,,M
Aleksandr Nedovyesov,R,KAZ,,M
Ze Zhang,R,CHN,,M
Stefano Napolitano,R,ITA,,M
Bjorn Fratangelo,R,USA,,M
Tommy Paul,R,USA,185,M
Jurij Rodionov,L,AUT,,M
Tobias Kamke,R,GER,180,M
Cem Ilkel,R,TUR,,M
Joao Domingues,R,POR,,M
Prajnesh Gunneswaran,L,IND,,M
Enrique Lopez Perez,R,ESP,,M
Yosuke Watanuki,R,JPN,,M
Matthias Bachinger,R,GER,188,M
Tim Smyczek,R,USA,175,M
Pedja Krstin,R,SRB,,M
Calvin Hemery,R,FRA,,M
Gleb Sakharov,R,FRA,,M
Kimmer Coppejans,R,BEL,,M
Alejandro Davidovich Fokina,R,ESP,183,M
Go Soeda,R,JPN,178,M
Juan Ignacio Londero,R,ARG,,M
Oscar Otte,R,GER,,M
Rudolf Molleker,R,GER,,M
Peter Polansky,R,CAN,180,M
Blaz Rola,L,SLO,,M
Lloyd Harris,R,RSA,193,M
Dominik Koepfer,L,GER,180,M
Marcelo Arevalo,R,ESA,,M
Dustin Brown,R,GER,196,M
Jason Jung,R,TPE,,M
Hiroki Moriya,R,JPN,,M
Luca Vanni,R,ITA,,M
James Ward,R,GBR,190,M
Mitchell Krueger,R,USA,,M
Adrian Menendez Maceiras,R,ESP,,M
Darian King,R,BAR,,M
Alexey Vatutin,R,RUS,,M
Lukas Rosol,R,CZE,196,M
Filippo Baldi,R,ITA,,M
Mats Moraing,L,GER,,M
Kamil Majchrzak,R,POL,,M
Noah Rubin,R,USA,,M
Maxime Janvier,R,FRA,,M
Gregoire Barrere,R,FRA,183,M
Varvara Flink,R,RUS,,F
Olivia Rogowska,R,AUS,,F
Irina Khromacheva,L,RUS,,F
Olga Govortsova,R,BLR,182,F
Kaylah Mcphee,,AUS,,F
Misaki Doi,L,JPN,159,F
Kristie Ahn,R,USA,,F
Paula Ormaechea,R,ARG,,F
Nicole Gibbs,R,USA,,F
Valentini Grammatikopoulou,,GRE,,F
Tereza Smitkova,R,CZE,,F
Anhelina Kalinina,R,UKR,,F
Jamie Loeb,R,USA,,F
Ludmilla Samsonova,R,RUS,,F
Aliona Bolsova,R,MDA,,F
Danielle Lao,R,USA,,F
Caroline Dolehide,R,USA,,F
Veronika Kudermetova,R,RUS,175,F
Anna Zaja,R,GER,,F
Tereza Martincova,R,CZE,,F
Xiyu Wang,L,CHN,,F
Antonia Lottner,R,GER,,F
Nadia Podoroska,,ARG,170,F
Anna Kalinskaya,R,RUS,,F
Amandine Hesse,R,FRA,,F
Ankita Raina,R,IND,,F
Paula Badosa,R,ESP,180,F
Ivana Jorovic,R,SRB,,F
Asia Muhammed,R,USA,,F
Shilin Xu,R,CHN,,F
Lin Zhu,R,CHN,,F
Allie Kiick,R,USA,,F
Martina Trevisan,L,ITA,,F
Sabina Sharipova,R,UZB,,F
Sofya Zhuk,R,RUS,,F
Tereza Mrdeza,R,CRO,,F
Varvara Lepchenko,L,USA,180,F
Barbora Krejcikova,R,CZE,178,F
Jessika Ponchet,,FRA,,F
Naiktha Bains,R,AUS,,F
Kurumi Nara,R,JPN,155,F
Richel Hogenkamp,R,NED,,F
Isabelle Wallace,L,AUS,,F
Ysaline Bonaventure,L,BEL,,F
Lizette Cabrera,R,AUS,,F
Fanny Stollar,R,HUN,172,F
Danka Kovinic,R,MNE,,F
Bibiane Schoofs,R,NED,170,F
Jennifer Brady,R,USA,178,F
Conny Perrin,R,SUI,,F
Federico Delbonis,L,ARG,190,M
Aljaz Bedene,R,SLO,181,M
Pedro Cachin,R,ARG,,M
Alessandro Giannessi,L,ITA,183,M
Albert Ramos,L,ESP,188,M
Roberto Carballes Baena,R,ESP,183,M
Facundo Bagnis,L,ARG,183,M
Federico Coria,R,ARG,,M
Andrej Martin,R,SVK,180,M
Hugo Dellien,R,BOL,,M
Marcel Granollers,R,ESP,190,M
Ruben Bemelmans,L,BEL,,M
Quentin Halys,R,FRA,,M
Nicolas Mahut,R,FRA,190,M
Yannick Maden,R,GER,185,M
Daniel Brands,R,GER,196,M
Mikhail Kukushkin,R,KAZ,183,M
Alexandar Lazarov,R,BUL,,M
Franko Skugor,R,CRO,193,M
Elias Ymer,R,SWE,,M
Rogerio Dutra Silva,R,BRA,178,M
Brayden Schnur,R,CAN,,M
John Isner,R,USA,206,M
Bernard Tomic,R,AUS,193,M
Denis Istomin,R,UZB,188,M
Ernesto Escobedo,R,USA,,M
Andrea Arnaboldi,L,ITA,,M
Damir Dzumhur,R,BIH,172,M
Tallon Griekspoor,R,NED,,M
Ryan Nijboer,,NED,,M
Juan Martin del Potro,R,ARG,198,M
Steve Johnson,R,USA,188,M
Adrian Mannarino,L,FRA,183,M
Lukas Lacko,R,SVK,185,M
Donald Young,L,USA,183,M
Hubert Hurkacz,R,POL,196,M
Constant Lestienne,R,FRA,,M
Casper Ruud,R,NOR,183,M
Carlos Berlocq,R,ARG,183,M
Feliciano Lopez,L,ESP,188,M
Victoria Azarenka,R,BLR,180,F
Mihaela Buzarnescu,L,ROU,,F
Saisai Zheng,R,CHN,170,F
Federico Gaio,R,ITA,,M
Emilio Gomez,R,ECU,,M
Irina Maria Bara,R,ROU,,F
Victoria Rodriguez,,MEX,,F
Ana Sofia Sanchez,L,MEX,,F
Giuliana Olmos,R,MEX,,F
Corentin Moutet,L,FRA,178,M
Thiago Seyboth Wild,R,BRA,,M
Pedro Sakamoto,R,BRA,,M
Kyle Edmund,R,GBR,188,M
Marcos Giron,R,USA,180,M
Jared Donaldson,R,USA,,M
Barbora Zahlavova Strycova,R,CZE,164,F
