tourney_id,sex,draw_size,tourney_level
2019-M-DC-2019-G2-EPA-M-LTU-MAR-01,M,4.0,D
2019-M-DC-2019-G2-EPA-M-NOR-GEO-01,M,4.0,D
2019-M-DC-2019-G2-EPA-M-ROU-ZIM-01,M,4.0,D
2019-M-DC-2019-G2-EPA-M-RSA-BUL-01,M,4.0,D
2019-M-DC-2019-QLS-M-AUS-BIH-01,M,4.0,D
2019-M-DC-2019-QLS-M-AUT-CHI-01,M,4.0,D
2019-M-DC-2019-QLS-M-BEL-BRA-01,M,4.0,D
2019-M-DC-2019-QLS-M-CAN-SVK-01,M,4.0,D
2019-M-DC-2019-QLS-M-CZE-NED-01,M,4.0,D
2019-M-DC-2019-QLS-M-GER-HUN-01,M,4.0,D
2019-M-DC-2019-QLS-M-ITA-IND-01,M,4.0,D
2019-M-DC-2019-QLS-M-JPN-CHN-01,M,4.0,D
2019-M-DC-2019-QLS-M-KAZ-POR-01,M,4.0,D
2019-M-DC-2019-QLS-M-SRB-UZB-01,M,4.0,D
2019-M-DC-2019-QLS-M-SUI-RUS-01,M,4.0,D
2019-M-DC-2019-QLS-M-SWE-COL-01,M,4.0,D
2018-M020,M,32.0,A
2018-M020,F,32.0,P
2018-0451,M,32.0,A
2018-0891,M,32.0,A
2018-0301,M,32.0,A
2018-M001,M,32.0,A
2018-M001,F,32.0,P
2018-580,M,128.0,G
2018-580,F,128.0,G
2018-M-DC-2018-G1-EPA-M-AUT-BLR-01,M,4.0,D
2018-M-DC-2018-G1-AM-M-CHI-ECU-01,M,4.0,D
2018-M-DC-2018-G1-AO-M-CHN-NZL-01,M,4.0,D
2018-M-DC-2018-G1-AM-M-COL-BAR-01,M,4.0,D
2018-M-DC-2018-G1-AM-M-DOM-BRA-01,M,4.0,D
2018-M-DC-2018-G1-AO-M-KOR-PAK-01,M,4.0,D
2018-M-DC-2018-G1-EPA-M-RSA-ISR-01,M,4.0,D
2018-M-DC-2018-G1-EPA-M-UKR-SWE-01,M,4.0,D
2018-M-DC-2018-WG-M-AUS-GER-01,M,4.0,D
2018-M-DC-2018-WG-M-CAN-CRO-01,M,4.0,D
2018-M-DC-2018-WG-M-FRA-NED-01,M,4.0,D
2018-M-DC-2018-WG-M-GBR-ESP-01,M,4.0,D
2018-M-DC-2018-WG-M-HUN-BEL-01,M,4.0,D
2018-M-DC-2018-WG-M-ITA-JPN-01,M,4.0,D
2018-M-DC-2018-WG-M-KAZ-SUI-01,M,4.0,D
2018-M-DC-2018-WG-M-USA-SRB-01,M,4.0,D
2018-M-DC-2018-G2-AM-M-BOL-PER-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-EGY-NOR-01,M,4.0,D
2018-M-DC-2018-G2-AM-M-ESA-URU-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-EST-LTU-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-GEO-MAR-01,M,4.0,D
2018-M-DC-2018-G2-AO-M-IRI-HKG-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-IRL-DEN-01,M,4.0,D
2018-M-DC-2018-G2-AO-M-LBN-TPE-01,M,4.0,D
2018-M-DC-2018-G2-AO-M-PHI-INA-01,M,4.0,D
2018-M-DC-2018-G2-AM-M-PUR-MEX-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-ROU-LUX-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-SLO-POL-01,M,4.0,D
2018-M-DC-2018-G2-AO-M-THA-SRI-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-TUN-FIN-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-TUR-ZIM-01,M,4.0,D
2018-M-DC-2018-G2-AM-M-VEN-GUA-01,M,4.0,D
2018-0375,M,32.0,A
2018-7161,M,32.0,A
2018-7434,M,32.0,A
2018-0506,M,32.0,A
2018-0424,M,32.0,A
2018-0407,M,32.0,A
2018-0499,M,32.0,A
2018-0496,M,32.0,A
2018-6932,M,32.0,A
2018-M004,M,32.0,A
2018-M004,F,32.0,I
2018-0495,M,32.0,A
2018-0533,M,32.0,A
2018-M006,M,128.0,M
2018-M006,F,128.0,PM
2018-M007,M,128.0,M
2018-M007,F,128.0,PM
2018-M-DC-2018-G1-AM-M-ARG-CHI-01,M,4.0,D
2018-M-DC-2018-G1-EPA-M-AUT-RUS-01,M,4.0,D
2018-M-DC-2018-G1-EPA-M-BIH-SVK-01,M,4.0,D
2018-M-DC-2018-G1-AM-M-COL-BRA-01,M,4.0,D
2018-M-DC-2018-G1-EPA-M-CZE-ISR-01,M,4.0,D
2018-M-DC-2018-G1-AO-M-IND-CHN-01,M,4.0,D
2018-M-DC-2018-G1-AO-M-PAK-UZB-01,M,4.0,D
2018-M-DC-2018-G1-EPA-M-POR-SWE-01,M,4.0,D
2018-M-DC-2018-WG-M-ESP-GER-01,M,4.0,D
2018-M-DC-2018-WG-M-FRA-ITA-01,M,4.0,D
2018-M-DC-2018-WG-M-KAZ-CRO-01,M,4.0,D
2018-M-DC-2018-WG-M-USA-BEL-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-EGY-DEN-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-FIN-LTU-01,M,4.0,D
2018-M-DC-2018-G2-AO-M-HKG-LBN-01,M,4.0,D
2018-M-DC-2018-G2-AM-M-MEX-PER-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-POL-ZIM-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-ROU-MAR-01,M,4.0,D
2018-M-DC-2018-G2-AO-M-THA-PHI-01,M,4.0,D
2018-M-DC-2018-G2-AM-M-VEN-URU-01,M,4.0,D
2018-0717,M,32.0,A
2018-0360,M,32.0,A
2018-0410,M,64.0,M
2018-0425,M,64.0,A
2018-7648,M,32.0,A
2018-7290,M,32.0,A
2018-7163,M,32.0,A
2018-0308,M,32.0,A
2018-M021,M,64.0,M
2018-M021,F,64.0,PM
2018-M009,M,64.0,M
2018-M009,F,64.0,P
2018-0322,M,32.0,A
2018-7694,M,32.0,A
2018-520,M,128.0,G
2018-520,F,128.0,G
2018-M010,M,32.0,A
2018-M010,F,32.0,I
2018-0321,M,32.0,A
2018-0500,M,32.0,A
2018-0311,M,32.0,A
2018-7650,M,32.0,A
2018-M016,M,32.0,A
2018-M016,F,64.0,P
2018-540,M,128.0,G
2018-540,F,128.0,G
2018-0316,M,32.0,A
2018-0315,M,32.0,A
2018-0439,M,32.0,A
2018-6116,M,32.0,A
2018-0314,M,32.0,A
2018-0414,M,32.0,A
2018-7480,M,32.0,A
2018-0319,M,32.0,A
2018-M035,M,64.0,A
2018-M035,F,32.0,I
2018-0421,M,64.0,M
2018-M024,M,64.0,M
2018-M024,F,64.0,PM
2018-6242,M,64.0,A
2018-560,M,128.0,G
2018-560,F,128.0,G
2018-M-DC-2018-G2-EPA-M-EGY-FIN-01,M,4.0,D
2018-M-DC-2018-WG-PO-ARG-COL-01,M,4.0,D
2018-M-DC-2018-WG-PO-AUT-AUS-01,M,4.0,D
2018-M-DC-2018-WG-PO-CAN-NED-01,M,4.0,D
2018-M-DC-2018-WG-PO-GBR-UZB-01,M,4.0,D
2018-M-DC-2018-WG-PO-HUN-CZE-01,M,4.0,D
2018-M-DC-2018-WG-PO-JPN-BIH-01,M,4.0,D
2018-M-DC-2018-WG-PO-SRB-IND-01,M,4.0,D
2018-M-DC-2018-WG-PO-SUI-SWE-01,M,4.0,D
2018-M-DC-2018-WG-M-CRO-USA-01,M,4.0,D
2018-M-DC-2018-WG-M-FRA-ESP-01,M,4.0,D
2018-M-DC-2018-G2-EPA-M-ROU-POL-01,M,4.0,D
2018-M-DC-2018-G2-AO-M-THA-LBN-01,M,4.0,D
2018-M-DC-2018-G2-AM-M-URU-MEX-01,M,4.0,D
2018-0341,M,32.0,A
2018-0568,M,32.0,A
2018-7581,M,32.0,A
2018-6967,M,32.0,A
2018-M015,M,32.0,A
2018-M015,F,64.0,PM
2018-0329,M,32.0,A
2018-5014,M,64.0,M
2018-7485,M,32.0,A
2018-M014,M,32.0,A
2018-M014,F,32.0,P
2018-0429,M,32.0,A
2018-0328,M,32.0,A
2018-0337,M,32.0,A
2018-0352,M,64.0,M
2018-7696,M,8.0,F
2018-0605,M,8.0,F
2018-M-DC-2018-WG-M-FRA-CRO-01,M,4.0,D
2017-1059,F,32.0,C
2017-1072,F,32.0,C
2017-1083,F,32.0,C
2017-1084,F,32.0,C
2017-1095,F,32.0,C
2017-1100,F,32.0,C
2017-W-WITF-ARG-01A-2017,F,32.0,15
2017-W-WITF-ARG-02A-2017,F,32.0,15
2017-W-WITF-ARG-03A-2017,F,32.0,15
2017-W-WITF-ARG-04A-2017,F,32.0,15
2017-W-WITF-ARG-05A-2017,F,32.0,15
2017-W-WITF-AUS-01A-2017,F,32.0,25
2017-W-WITF-AUS-01C-2017,F,32.0,60
2017-W-WITF-AUS-02A-2017,F,32.0,25
2017-W-WITF-AUS-02B-2017,F,32.0,60
2017-W-WITF-AUS-03A-2017,F,32.0,25
2017-W-WITF-AUS-04A-2017,F,32.0,25
2017-W-WITF-AUS-05A-2017,F,32.0,25
2017-W-WITF-AUS-06A-2017,F,32.0,25
2017-W-WITF-AUS-07A-2017,F,32.0,60
2017-W-WITF-AUS-08A-2017,F,32.0,60
2017-W-WITF-AUS-09A-2017,F,32.0,25
2017-W-WITF-AUS-10A-2017,F,32.0,25
2017-W-WITF-AUS-11A-2017,F,32.0,25
2017-W-WITF-AUS-12A-2017,F,32.0,25
2017-W-WITF-AUT-01A-2017,F,32.0,15
2017-W-WITF-AUT-02A-2017,F,32.0,15
2017-W-WITF-BEL-01A-2017,F,32.0,15
2017-W-WITF-BEL-02A-2017,F,32.0,15
2017-W-WITF-BEL-03A-2017,F,32.0,15
2017-W-WITF-BEL-04A-2017,F,32.0,25
2017-W-WITF-BEL-05A-2017,F,32.0,15
2017-W-WITF-BEL-06A-2017,F,32.0,15
2017-W-WITF-BIH-01A-2017,F,32.0,15
2017-W-WITF-BLR-01A-2017,F,32.0,15
2017-W-WITF-BLR-02A-2017,F,32.0,15
2017-W-WITF-BLR-03A-2017,F,32.0,15
2017-W-WITF-BRA-01A-2017,F,32.0,25
2017-W-WITF-BRA-02A-2017,F,32.0,25
2017-W-WITF-BRA-03A-2017,F,32.0,15
2017-W-WITF-BRA-03B-2017,F,32.0,15
2017-W-WITF-BRA-07A-2017,F,32.0,15
2017-W-WITF-BRA-08A-2017,F,32.0,15
2017-W-WITF-BRA-09B-2017,F,32.0,15
2017-W-WITF-BUL-01A-2017,F,32.0,25
2017-W-WITF-BUL-03A-2017,F,32.0,15
2017-W-WITF-BUL-04A-2017,F,32.0,15
2017-W-WITF-CAN-01A-2017,F,32.0,100
2017-W-WITF-CAN-02A-2017,F,32.0,15
2017-W-WITF-CAN-03A-2017,F,32.0,25
2017-W-WITF-CAN-04A-2017,F,32.0,60
2017-W-WITF-CAN-05A-2017,F,32.0,25
2017-W-WITF-CAN-06A-2017,F,32.0,60
2017-W-WITF-CAN-07A-2017,F,32.0,60
2017-W-WITF-CHI-01A-2017,F,32.0,15
2017-W-WITF-CHI-02A-2017,F,32.0,25
2017-W-WITF-CHN-01A-2017,F,32.0,15
2017-W-WITF-CHN-02A-2017,F,32.0,15
2017-W-WITF-CHN-03A-2017,F,32.0,15
2017-W-WITF-CHN-03B-2017,F,32.0,60
2017-W-WITF-CHN-03C-2017,F,32.0,60
2017-W-WITF-CHN-04B-2017,F,32.0,60
2017-W-WITF-CHN-05A-2017,F,32.0,100
2017-W-WITF-CHN-06A-2017,F,32.0,25
2017-W-WITF-CHN-07A-2017,F,32.0,25
2017-W-WITF-CHN-08A-2017,F,32.0,25
2017-W-WITF-CHN-09A-2017,F,32.0,25
2017-W-WITF-CHN-10A-2017,F,32.0,60
2017-W-WITF-CHN-11A-2017,F,32.0,15
2017-W-WITF-CHN-12A-2017,F,32.0,15
2017-W-WITF-CHN-13A-2017,F,32.0,15
2017-W-WITF-CHN-14A-2017,F,32.0,25
2017-W-WITF-CHN-15A-2017,F,32.0,25
2017-W-WITF-CHN-16A-2017,F,32.0,60
2017-W-WITF-CHN-17A-2017,F,32.0,60
2017-W-WITF-CHN-18B-2017,F,32.0,100
2017-W-WITF-CHN-19A-2017,F,32.0,25
2017-W-WITF-COL-01A-2017,F,32.0,15
2017-W-WITF-COL-02A-2017,F,32.0,15
2017-W-WITF-CRO-01A-2017,F,32.0,15
2017-W-WITF-CZE-01A-2017,F,32.0,25
2017-W-WITF-CZE-02A-2017,F,32.0,15
2017-W-WITF-CZE-03A-2017,F,32.0,80
2017-W-WITF-CZE-04A-2017,F,32.0,80
2017-W-WITF-CZE-05A-2017,F,32.0,15
2017-W-WITF-CZE-07A-2017,F,32.0,15
2017-W-WITF-CZE-08A-2017,F,32.0,15
2017-W-WITF-CZE-09A-2017,F,32.0,15
2017-W-WITF-CZE-10A-2017,F,32.0,15
2017-W-WITF-ECU-01A-2017,F,32.0,15
2017-W-WITF-ECU-02A-2017,F,32.0,15
2017-W-WITF-EGY-01A-2017,F,32.0,15
2017-W-WITF-EGY-02A-2017,F,32.0,15
2017-W-WITF-EGY-03A-2017,F,29.0,15
2017-W-WITF-EGY-04A-2017,F,32.0,15
2017-W-WITF-EGY-05A-2017,F,32.0,15
2017-W-WITF-EGY-06A-2017,F,32.0,15
2017-W-WITF-EGY-07A-2017,F,32.0,15
2017-W-WITF-EGY-08A-2017,F,32.0,15
2017-W-WITF-EGY-09A-2017,F,32.0,15
2017-W-WITF-EGY-10A-2017,F,32.0,15
2017-W-WITF-EGY-11A-2017,F,32.0,15
2017-W-WITF-EGY-12A-2017,F,32.0,15
2017-W-WITF-EGY-13A-2017,F,32.0,15
2017-W-WITF-EGY-14A-2017,F,32.0,15
2017-W-WITF-EGY-16A-2017,F,32.0,15
2017-W-WITF-EGY-18A-2017,F,32.0,15
2017-W-WITF-EGY-19A-2017,F,32.0,15
2017-W-WITF-EGY-20A-2017,F,32.0,15
2017-W-WITF-EGY-21A-2017,F,32.0,15
2017-W-WITF-EGY-22A-2017,F,32.0,15
2017-W-WITF-EGY-23A-2017,F,32.0,15
2017-W-WITF-EGY-24A-2017,F,32.0,15
2017-W-WITF-EGY-25A-2017,F,32.0,15
2017-W-WITF-EGY-26A-2017,F,32.0,15
2017-W-WITF-EGY-27A-2017,F,32.0,15
2017-W-WITF-EGY-28A-2017,F,32.0,15
2017-W-WITF-EGY-29A-2017,F,32.0,15
2017-W-WITF-EGY-30A-2017,F,32.0,15
2017-W-WITF-EGY-31A-2017,F,32.0,15
2017-W-WITF-EGY-32A-2017,F,32.0,15
2017-W-WITF-EGY-33A-2017,F,32.0,15
2017-W-WITF-EGY-34A-2017,F,32.0,15
2017-W-WITF-EGY-35A-2017,F,32.0,15
2017-W-WITF-EGY-36A-2017,F,32.0,15
2017-W-WITF-EGY-37A-2017,F,32.0,15
2017-W-WITF-ESP-01A-2017,F,32.0,15
2017-W-WITF-ESP-02A-2017,F,32.0,15
2017-W-WITF-ESP-03A-2017,F,32.0,15
2017-W-WITF-ESP-04A-2017,F,32.0,15
2017-W-WITF-ESP-05A-2017,F,32.0,25
2017-W-WITF-ESP-06A-2017,F,32.0,25
2017-W-WITF-ESP-07A-2017,F,32.0,25
2017-W-WITF-ESP-08A-2017,F,32.0,15
2017-W-WITF-ESP-09A-2017,F,32.0,60
2017-W-WITF-ESP-10A-2017,F,32.0,25
2017-W-WITF-ESP-11A-2017,F,32.0,15
2017-W-WITF-ESP-12A-2017,F,32.0,15
2017-W-WITF-ESP-13A-2017,F,32.0,15
2017-W-WITF-ESP-14A-2017,F,32.0,25
2017-W-WITF-ESP-15A-2017,F,32.0,15
2017-W-WITF-ESP-16A-2017,F,32.0,15
2017-W-WITF-ESP-17A-2017,F,29.0,15
2017-W-WITF-ESP-18A-2017,F,32.0,25
2017-W-WITF-ESP-18B-2017,F,32.0,15
2017-W-WITF-ESP-19A-2017,F,32.0,25
2017-W-WITF-ESP-20A-2017,F,32.0,15
2017-W-WITF-ESP-21A-2017,F,32.0,15
2017-W-WITF-ESP-22A-2017,F,32.0,15
2017-W-WITF-ESP-23A-2017,F,32.0,25
2017-W-WITF-ESP-24A-2017,F,32.0,25
2017-W-WITF-EST-01A-2017,F,32.0,15
2017-W-WITF-FIN-01A-2017,F,32.0,15
2017-W-WITF-FIN-02A-2017,F,32.0,15
2017-W-WITF-FIN-03A-2017,F,32.0,15
2017-W-WITF-FRA-01A-2017,F,32.0,15
2017-W-WITF-FRA-02A-2017,F,32.0,15
2017-W-WITF-FRA-03A-2017,F,32.0,15
2017-W-WITF-FRA-04A-2017,F,32.0,25
2017-W-WITF-FRA-04B-2017,F,32.0,15
2017-W-WITF-FRA-05A-2017,F,32.0,60
2017-W-WITF-FRA-06A-2017,F,32.0,15
2017-W-WITF-FRA-07A-2017,F,32.0,15
2017-W-WITF-FRA-08A-2017,F,32.0,60
2017-W-WITF-FRA-09A-2017,F,32.0,15
2017-W-WITF-FRA-10A-2017,F,32.0,15
2017-W-WITF-FRA-11A-2017,F,32.0,100
2017-W-WITF-FRA-12A-2017,F,32.0,60
2017-W-WITF-FRA-13A-2017,F,32.0,100
2017-W-WITF-FRA-14A-2017,F,32.0,25
2017-W-WITF-FRA-15A-2017,F,32.0,25
2017-W-WITF-FRA-16A-2017,F,32.0,100
2017-W-WITF-FRA-17A-2017,F,32.0,80
2017-W-WITF-FRA-18A-2017,F,32.0,60
2017-W-WITF-FRA-19A-2017,F,32.0,25
2017-W-WITF-FRA-20A-2017,F,32.0,15
2017-W-WITF-FRA-21A-2017,F,32.0,100
2017-W-WITF-FRA-22A-2017,F,32.0,25
2017-W-WITF-FRA-23A-2017,F,32.0,25
2017-W-WITF-FRA-24A-2017,F,32.0,25
2017-W-WITF-FRA-25A-2017,F,32.0,25
2017-W-WITF-GBR-01A-2017,F,32.0,15
2017-W-WITF-GBR-06A-2017,F,32.0,15
2017-W-WITF-GBR-07A-2017,F,32.0,15
2017-W-WITF-GBR-08A-2017,F,32.0,100
2017-W-WITF-GBR-09A-2017,F,32.0,100
2017-W-WITF-GBR-10A-2017,F,32.0,100
2017-W-WITF-GBR-11A-2017,F,16.0,100
2017-W-WITF-GBR-12A-2017,F,32.0,25
2017-W-WITF-GBR-13A-2017,F,32.0,25
2017-W-WITF-GBR-14A-2017,F,32.0,15
2017-W-WITF-GBR-15A-2017,F,32.0,15
2017-W-WITF-GBR-16A-2017,F,32.0,25
2017-W-WITF-GEO-01A-2017,F,32.0,15
2017-W-WITF-GEO-03A-2017,F,32.0,25
2017-W-WITF-GER-01A-2017,F,32.0,15
2017-W-WITF-GER-02A-2017,F,32.0,25
2017-W-WITF-GER-03A-2017,F,32.0,25
2017-W-WITF-GER-04A-2017,F,32.0,25
2017-W-WITF-GER-05A-2017,F,32.0,25
2017-W-WITF-GER-06A-2017,F,32.0,15
2017-W-WITF-GER-07A-2017,F,32.0,60
2017-W-WITF-GER-08A-2017,F,32.0,60
2017-W-WITF-GER-09A-2017,F,32.0,25
2017-W-WITF-GER-10A-2017,F,32.0,25
2017-W-WITF-GER-11A-2017,F,32.0,25
2017-W-WITF-GER-12A-2017,F,32.0,25
2017-W-WITF-GER-13A-2017,F,32.0,25
2017-W-WITF-GER-14A-2017,F,32.0,25
2017-W-WITF-GER-15A-2017,F,32.0,15
2017-W-WITF-GRE-01A-2017,F,32.0,15
2017-W-WITF-GRE-02A-2017,F,32.0,15
2017-W-WITF-GRE-03A-2017,F,32.0,15
2017-W-WITF-GRE-04A-2017,F,32.0,15
2017-W-WITF-GRE-05A-2017,F,32.0,15
2017-W-WITF-GRE-06A-2017,F,32.0,15
2017-W-WITF-GRE-07A-2017,F,32.0,15
2017-W-WITF-GRE-08A-2017,F,32.0,15
2017-W-WITF-GRE-09A-2017,F,32.0,15
2017-W-WITF-GRE-10A-2017,F,32.0,15
2017-W-WITF-HKG-01A-2017,F,32.0,25
2017-W-WITF-HKG-06A-2017,F,32.0,15
2017-W-WITF-HUN-01A-2017,F,32.0,15
2017-W-WITF-HUN-02A-2017,F,32.0,25
2017-W-WITF-HUN-03A-2017,F,32.0,60
2017-W-WITF-HUN-04A-2017,F,32.0,25
2017-W-WITF-HUN-05A-2017,F,32.0,100
2017-W-WITF-HUN-06A-2017,F,32.0,25
2017-W-WITF-HUN-07A-2017,F,32.0,60
2017-W-WITF-HUN-08A-2017,F,32.0,25
2017-W-WITF-HUN-09A-2017,F,32.0,15
2017-W-WITF-IND-01A-2017,F,32.0,15
2017-W-WITF-IND-02A-2017,F,32.0,15
2017-W-WITF-IND-03A-2017,F,32.0,25
2017-W-WITF-IND-04A-2017,F,32.0,15
2017-W-WITF-IND-07A-2017,F,32.0,15
2017-W-WITF-IRL-01A-2017,F,32.0,15
2017-W-WITF-ISR-01A-2017,F,32.0,15
2017-W-WITF-ISR-02A-2017,F,32.0,15
2017-W-WITF-ISR-03A-2017,F,32.0,15
2017-W-WITF-ITA-01A-2017,F,32.0,25
2017-W-WITF-ITA-01B-2017,F,32.0,15
2017-W-WITF-ITA-02A-2017,F,32.0,25
2017-W-WITF-ITA-03A-2017,F,32.0,15
2017-W-WITF-ITA-04A-2017,F,32.0,15
2017-W-WITF-ITA-05A-2017,F,32.0,25
2017-W-WITF-ITA-07A-2017,F,32.0,25
2017-W-WITF-ITA-08A-2017,F,32.0,25
2017-W-WITF-ITA-09A-2017,F,32.0,15
2017-W-WITF-ITA-10A-2017,F,32.0,25
2017-W-WITF-ITA-11A-2017,F,32.0,25
2017-W-WITF-ITA-12A-2017,F,32.0,25
2017-W-WITF-ITA-13A-2017,F,32.0,60
2017-W-WITF-ITA-14A-2017,F,32.0,25
2017-W-WITF-ITA-15A-2017,F,32.0,15
2017-W-WITF-ITA-16A-2017,F,32.0,15
2017-W-WITF-ITA-17A-2017,F,32.0,60
2017-W-WITF-ITA-18A-2017,F,32.0,25
2017-W-WITF-ITA-19A-2017,F,32.0,25
2017-W-WITF-ITA-20A-2017,F,32.0,15
2017-W-WITF-ITA-22A-2017,F,32.0,15
2017-W-WITF-ITA-23A-2017,F,32.0,15
